dong_xe,gia,hop_so,kieu_dang,km_da_di,mau_xe,nhien_lieu,so_cho_ngoi,so_cua,tinh_trang,xuat_xu
Hatchback,Xe	Hyundai i10	1.2 AT	2021	- 408 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.25 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Lexus NX	300	2017	- 1 Tỷ 980 Triệu,Số tự động,,"68,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C250 Exclusive	2015	- 960 Triệu,Số tự động,,"75,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Corolla altis	1.8G MT	2014	- 415 Triệu,Số tay,,"60,000 Km",Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	Premium AT	2022	- 409 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.25 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Toyota Corolla Cross	1.8G	2022	- 730 Triệu,Số tự động,,0 Km,Đen,Xăng	1.8 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Van/Minivan,Xe	Toyota Innova	Ventuner	2017	- 710 Triệu,Số tự động,,"76,127 Km",Đỏ,Xăng,0 chỗ,0 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Honda CRV	2.4 AT	2012	- 495 Triệu,Số tự động,,"100,000 Km",Trắng,Xăng	2.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Isuzu Dmax	LS 3.0 4x4 MT	2011	- 360 Triệu,Số tay,,"400,000 Km",Đỏ,Dầu	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Kia Seltos	Premium 1.4 AT	2022	- 759 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.4 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Toyota Prado	2.7 TXL	2015	- 1 Tỷ 599 Triệu,Số tự động,,"70,000 Km",Cát,Xăng,7 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Kia K3	Premium 1.6 AT	2022	- 674 Triệu,Số tự động,,0 Km,Đen,Xăng	1.6 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Hatchback,Xe	Toyota Wigo	1.2G MT	2019	- 299 Triệu,Số tay,,"10,000 Km",Bạc,Xăng	1.2 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	LandRover Range Rover	Autobiography 5.0	2013	- 4 Tỷ 300 Triệu,Số tự động,,"60,000 Km",Trắng,Xăng	5.0 L,4 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai i10	1.2 MT Tiêu Chuẩn	2021	- 342 Triệu,Số tay,,0 Km,Bạc,Xăng	1.25 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Nissan Navara	EL 2.5 AT 2WD	2019	- 575 Triệu,Số tự động,,"48,000 Km",Cam,Dầu	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Porsche Cayenne	3.6 V6	2011	- 1 Tỷ 560 Triệu,Số tự động,,"67,000 Km",Đỏ,Xăng	3.6 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai Accent	1.4 MT	2020	- 438 Triệu,Số tay,,"18,000 Km",Đỏ,Xăng	1.4 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Hyundai Elantra	2.0 AT	2019	- 613 Triệu,Số tự động,,"40,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Honda City	1.5 AT	2016	- 418 Triệu,Số tự động,,"46,000 Km",Xanh,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Truck,Xe	Suzuki Super Carry Truck	1.0 MT	2022	- 223 Triệu,Số tay,,0 Km,Xanh,Xăng	1.0 L,2 chỗ,2 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Suzuki XL7	1.5 AT	2022	- 559 Triệu,Số tự động,,0 Km,Đen,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Hyundai SantaFe	2.2L	2013	- 735 Triệu,Số tự động,,"85,000 Km",Đen,Dầu	2.2 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus GX	460	2011	- 1 Tỷ 850 Triệu,Số tự động,,"86,000 Km",Vàng,Xăng	4.6 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz CLA class	CLA 200	2015	- 799 Triệu,Số tự động,,"64,500 Km",Trắng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	VinFast Fadil	1.4 AT Premium	2019	- 380 Triệu,Số tự động,,"28,140 Km",Trắng,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	MG ZS	Luxury 1.5 AT 2WD	2021	- 619 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Hatchback,Xe	Toyota Yaris	1.3G	2016	- 460 Triệu,Số tự động,,0 Km,Bạc,Xăng	1.3 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Fortuner	2.4G 4x2 MT	2019	- 975 Triệu,Số tay,,"128,000 Km",Trắng,Dầu	2.4 L,8 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mercedes Benz G class	G63 AMG	2022	- 14 Tỷ 500 Triệu,Số tự động,,0 Km,Đen,Xăng	4.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz S class	S400L	2017	- 2 Tỷ 690 Triệu,Số tự động,,"5,000 Km",Trắng,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Hyundai Accent	1.4 ATH	2020	- 515 Triệu,Số tự động,,"20,000 Km",Đen,Xăng	1.4 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Toyota Innova	2.0E	2015	- 379 Triệu,Số tay,,86 Km,Bạc,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Jeep Wrangler	Rubicon 2.0 4x4 AT	2021	- 3 Tỷ 688 Triệu,Số tự động,,0 Km,Vàng,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	200	2022	- 1 Tỷ 859 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Mercedes Benz GLC	200 4Matic	2022	- 2 Tỷ 129 Triệu,Số tự động,,0 Km,Xanh,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
