dong_xe,gia,hop_so,kieu_dang,km_da_di,mau_xe,nhien_lieu,so_cho_ngoi,so_cua,tinh_trang,xuat_xu
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 2.0L 4x4 AT	2022	- 937 Triệu,Số tự động,,0 Km,Cam,Dầu	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz S class	S450L	2018	- 3 Tỷ 420 Triệu,Số tự động,,"30,000 Km",Xanh,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Explorer	Limited 2.3L EcoBoost	2022	- 2 Tỷ 366 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.3 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Chevrolet Colorado	High Country 2.5L 4x4 AT	2019	- 660 Triệu,Số tự động,,"30,000 Km",Trắng,Dầu	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai i10	Grand 1.2 AT	2019	- 335 Triệu,Số tự động,,"56,000 Km",Bạc,Xăng	1.25 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Lexus ES	250	2017	- 1 Tỷ 860 Triệu,Số tự động,,"38,000 Km",Trắng,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	Raptor 2.0L 4x4 AT	2022	- 1 Tỷ 209 Triệu,Số tự động,,0 Km,Đỏ,Dầu	2.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Van/Minivan,Xe	Hyundai	Universe	2012	- 800 Triệu,Số tay,,"300,000 Km",Đỏ,Dầu,40 chỗ,1 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Everest	2.6L 4x2 MT	2005	- 179 Triệu,Số tay,,"120,000 Km",Đen,Xăng	2.6 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Truck,Xe	Suzuki Super Carry Truck	1.0 MT	2022	- 238 Triệu,Số tay,,0 Km,Trắng,Xăng	1.0 L,2 chỗ,2 cửa,Xe mới,Lắp ráp trong nước
Crossover,Xe	MG ZS	Comfort 1.5 AT 2WD	2022	- 560 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Hyundai SantaFe	2.4L 4WD	2015	- 765 Triệu,Số tự động,,"70,000 Km",Đen,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Corolla Cross	1.8G	2022	- 746 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.8 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Kia Cerato	1.6 AT Luxury	2019	- 585 Triệu,Số tự động,,"40,000 Km",Đỏ,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2022	- 662 Triệu,Số tự động,,0 Km,Xanh,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Isuzu Dmax	LS 1.9L 4x2 AT	2022	- 660 Triệu,Số tự động,,0 Km,Xanh,Dầu	1.9 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mitsubishi Pajero Sport	3.0G 4x2 AT	2017	- 795 Triệu,Số tự động,,0 Km,Xám,Xăng	3.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Fortuner	2.7V 4x2 AT	2013	- 515 Triệu,Số tự động,,"90,000 Km",Đen,Xăng	2.7 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E200	2019	- 1 Tỷ 789 Triệu,Số tự động,,"13,000 Km",Xanh,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	VinFast Lux A 2.0	Premium 2.0 AT	2020	- 870 Triệu,Số tự động,,"16,000 Km",Xanh,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Fortuner	TRD Sportivo 4x2 AT	2015	- 645 Triệu,Số tự động,,"78,000 Km",Trắng,Xăng	2.7 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.5 AT	2017	- 540 Triệu,Số tự động,,"39,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Hyundai SantaFe	Premium 2.4L HTRAC	2020	- 1 Tỷ 115 Triệu,Số tự động,,"18,000 Km",Bạc,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Audi Q3	Sportback 35 TFSI	2022	- 2 Tỷ 220 Triệu,Số tự động,,0 Km,Cam,Xăng,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C200 Exclusive	2021	- 1 Tỷ 630 Triệu,Số tự động,,"1,300 Km",Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia Cerato	1.6 AT Luxury	2021	- 650 Triệu,Số tự động,,"12,000 Km",Trắng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C200	2011	- 490 Triệu,Số tự động,,0 Km,Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Xpander	Cross 1.5 AT	2021	- 688 Triệu,Số tự động,,"9,000 Km",Trắng,Xăng	1.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	Kia Morning	X-Line	2021	- 755 Triệu,Số tự động,,"9,000 Km",Đỏ,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Corolla altis	1.8G AT	2012	- 425 Triệu,Số tự động,,0 Km,Ghi,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	2.4G	2011	- 498 Triệu,Số tự động,,"86,000 Km",Đen,Xăng	2.4 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Mazda 3	2.0L Sport Signature Premium	2020	- 779 Triệu,Số tự động,,"20,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Honda CRV	E	2022	- 998 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	Raptor 2.0L 4x4 AT	2022	- 1 Tỷ 209 Triệu,Số tự động,,0 Km,Xám,Dầu	2.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C300 AMG	2012	- 555 Triệu,Số tự động,,"67,000 Km",Đỏ,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E300	2011	- 670 Triệu,Số tự động,,"88,000 Km",Đen,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Van/Minivan,Xe	Kia Carnival	Signature 2.2D	2022	- 1 Tỷ 489 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.2 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Ford Escape	XLS 2.3L 4x2 AT	2008	- 250 Triệu,Số tự động,,"92,168 Km",Đen,Xăng	2.3 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Maserati Ghibli	3.0 V6	2020	- 6 Tỷ 516 Triệu,Số tự động,,0 Km,Trắng,Xăng	3.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
SUV,Xe	Hyundai SantaFe	MLX 2.0L	2008	- 435 Triệu,Số tự động,,"170,000 Km",Đen,Dầu	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	VinFast Lux A 2.0	Tiêu chuẩn	2022	- 681 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Toyota Corolla altis	1.8G MT	2008	- 298 Triệu,Số tay,,0 Km,Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Kia Seltos	Luxury 1.4 AT	2022	- 674 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.4 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Crossover,Xe	MG HS	Trophy 2.0 AT AWD	2022	- 799 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mazda 3	1.5 AT	2017	- 555 Triệu,Số tự động,,"50,000 Km",Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Toyota Innova	2.0 Venturer	2018	- 740 Triệu,Số tự động,,"45,400 Km",Đỏ,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Mazda 3	1.5 AT	2017	- 545 Triệu,Số tự động,,"42,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Hyundai Tucson	2.0 AT Tiêu chuẩn	2022	- 825 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Daewoo Lanos	SX	2003	- 78 Triệu,Số tay,,"150,000 Km",Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	2.5Q	2013	- 650 Triệu,Số tự động,,"110,000 Km",Trắng,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Lexus LX	570 Super Sport	2018	- 9 Tỷ 200 Triệu,Số tự động,,"20,000 Km",Đen,Xăng	5.7 L,4 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Corolla altis	1.8G MT	2014	- 445 Triệu,Số tay,,"70,000 Km",Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.5L Premium	2021	- 765 Triệu,Số tự động,,"15,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	AT	2019	- 335 Triệu,Số tự động,,"20,000 Km",Trắng,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C200 Exclusive	2019	- 1 Tỷ 380 Triệu,Số tự động,,0 Km,Xanh,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	SLX 1.0 AT	2010	- 225 Triệu,Số tự động,,"120,000 Km",Xanh,Xăng	1.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Prado	TXL 2.7L	2015	- 1 Tỷ 550 Triệu,Số tự động,,"75,000 Km",Đen,Xăng	2.7 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Ford Explorer	Limited 2.3L EcoBoost	2017	- 1 Tỷ 420 Triệu,Số tự động,,"84,000 Km",Ghi,Xăng	2.3 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mitsubishi Outlander	2.0 CVT	2019	- 700 Triệu,Số tự động,,"42,000 Km",Đỏ,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	Luxury	2019	- 375 Triệu,Số tự động,,"24,000 Km",Vàng,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Hyundai Creta	1.6 AT GAS	2015	- 498 Triệu,Số tự động,,"91,000 Km",Đỏ,Xăng	1.6 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Honda Civic	1.5G Vtec Turbo	2018	- 695 Triệu,Số tự động,,"40,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Chevrolet Cruze	LT 1.6 MT	2016	- 320 Triệu,Số tay,,0 Km,Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Prado	TXL 2.7L	2014	- 1 Tỷ 350 Triệu,Số tự động,,"100,000 Km",Vàng,Xăng	2.7 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Honda HRV	G	2019	- 669 Triệu,Số tự động,,"16,568 Km",Trắng,Xăng	1.8 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Fortuner	2.7V 4x4 AT	2013	- 465 Triệu,Số tự động,,"90,000 Km",Bạc,Xăng	2.7 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	G 1.5 CVT	2022	- 586 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Crossover,Xe	Toyota Venza	2.7	2009	- 535 Triệu,Số tự động,,"115,000 Km",Bạc,Xăng	2.7 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Mazda CX 30	2.0L Luxury	2022	- 849 Triệu,Số tự động,,0 Km,Đỏ,Xăng,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Van/Minivan,Xe	Ford Transit	Tiêu chuẩn	2022	- 800 Triệu,Số tay,,0 Km,Đen,Dầu	2.2 L,16 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Mazda CX5	Premium 2.0 AT	2021	- 938 Triệu,Số tự động,,"16,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Hyundai Avante	1.6 MT	2015	- 285 Triệu,Số tay,,0 Km,Trắng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x2 AT	2022	- 1 Tỷ 181 Triệu,Số tự động,,0 Km,Xanh,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 3.2L 4x4 AT	2017	- 815 Triệu,Số tự động,,0 Km,Đen,Dầu	3.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Corolla altis	1.8G MT	2014	- 420 Triệu,Số tay,,"60,000 Km",Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Suzuki Swift	1.4 AT	2015	- 345 Triệu,Số tự động,,"63,000 Km",Xanh,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Isuzu Hi lander	V-spec 2.5 MT	2004	- 165 Triệu,Số tay,,"150,000 Km",Trắng,Dầu	2.5 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Toyota Hilux	3.0G 4x4 MT	2014	- 485 Triệu,Số tay,,0 Km,Xám,Dầu	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 6	2.0L Premium	2016	- 699 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Jeep Wrangler	Sahara	2022	- 3 Tỷ 586 Triệu,Số tự động,,0 Km,Đỏ,Xăng,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mitsubishi Pajero Sport	D 4x4 MT	2012	- 490 Triệu,Số tay,,"86,000 Km",Cát,Dầu	2.5 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XL 2.2L 4x4 MT	2013	- 438 Triệu,Số tay,,"87,000 Km",Cát,Dầu	2.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Vios	1.5E	2018	- 400 Triệu,Số tay,,"60,000 Km",Đen,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Kia Seltos	Luxury 1.4 AT	2021	- 720 Triệu,Số tự động,,"15,000 Km",Trắng,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Truck,Xe	Hyundai Mighty	110SP	2022	- 910 Triệu,Số tay,,0 Km,Trắng,Dầu	3.9 L,3 chỗ,2 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2022	- 660 Triệu,Số tự động,,0 Km,Đen,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mazda 3	2.0L Signature Premium	2022	- 789 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.6 AT	2005	- 215 Triệu,Số tự động,,"167,218 Km",Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Xpander	Cross 1.5 AT	2022	- 670 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	200	2020	- 1 Tỷ 739 Triệu,Số tự động,,"6,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Fortuner	2.7V 4x4 AT	2009	- 373 Triệu,Số tự động,,"120,000 Km",Đen,Xăng	2.7 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	1.5G	2020	- 539 Triệu,Số tự động,,"43,000 Km",Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	Si MT	2015	- 169 Triệu,Số tay,,"6,886 Km",Cát,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	Raptor 2.0L 4x4 AT	2019	- 1 Tỷ 285 Triệu,Số tự động,,"17,000 Km",Xanh,Dầu	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai Accent	1.4 AT	2020	- 495 Triệu,Số tự động,,"28,000 Km",Đỏ,Xăng	1.4 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Honda City	1.5 AT	2017	- 445 Triệu,Số tự động,,"38,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	VinFast Lux A 2.0	Nâng cao	2022	- 948 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Van/Minivan,Xe	Kia Morning	Van 1.0 AT	2015	- 265 Triệu,Số tự động,,"47,000 Km",Kem,Xăng	1.0 L,2 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 3.2L 4x4 AT	2017	- 809 Triệu,Số tự động,,"58,000 Km",Đỏ,Dầu	3.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Van/Minivan,Xe	Suzuki Super Carry Van	Blind Van	2022	- 260 Triệu,Số tay,,0 Km,Trắng,Xăng	1.0 L,2 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	2.5Q	2019	- 1 Tỷ 165 Triệu,Số tự động,,"30,000 Km",Nâu,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Kia Sorento	GAT 2.4L 4WD	2011	- 448 Triệu,Số tự động,,"68,000 Km",Bạc,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Camry	2.5Q	2022	- 1 Tỷ 370 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.5 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
SUV,Xe	Toyota Corolla Cross	1.8V	2022	- 825 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.8 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Kia K3	Premium 2.0 AT	2022	- 725 Triệu,Số tự động,,"5,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Mini Cooper	Clubman S	2022	- 2 Tỷ 459 Triệu,Số tự động,,0 Km,Xanh,Xăng	2.0 L,5 chỗ,3 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mercedes Benz E class	E250 AMG	2015	- 1 Tỷ 90 Triệu,Số tự động,,"67,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	1.5G	2008	- 289 Triệu,Số tự động,,"80,000 Km",Bạc,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Audi Q5	2.0 AT	2018	- 1 Tỷ 885 Triệu,Số tự động,,"33,000 Km",Xanh,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	MG 5	Luxury 1.5 AT	2022	- 504 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mazda CX5	Luxury 2.0 AT	2021	- 880 Triệu,Số tự động,,"6,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Chevrolet Colorado	LTZ 2.8L 4x4 AT	2017	- 645 Triệu,Số tự động,,"70,000 Km",Bạc,Dầu	2.8 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2020	- 1 Tỷ 279 Triệu,Số tự động,,"20,000 Km",Đỏ,Dầu	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Porsche Panamera	3.0 V6	2019	- 5 Tỷ 950 Triệu,Số tự động,,"18,000 Km",Trắng,Xăng	3.0 L,4 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	VinFast Fadil	1.4 AT Plus	2019	- 335 Triệu,Số tự động,,"32,817 Km",Ghi,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Van/Minivan,Xe	Ford Transit	Tiêu chuẩn	2022	- 845 Triệu,Số tay,,0 Km,Bạc,Dầu	2.2 L,16 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Truck,Xe	Isuzu QKR	1.9T	2022	- 590 Triệu,Số tay,,0 Km,Trắng,Dầu,3 chỗ,2 cửa,Xe mới,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	MT	2022	- 289 Triệu,Số tay,,0 Km,Trắng,Xăng	1.25 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Hyundai i10	1.2 AT	2022	- 435 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.25 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Hatchback,Xe	Hyundai i10	1.2 AT	2022	- 435 Triệu,Số tự động,,0 Km,Cát,Xăng	1.25 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Kia K7	2.4 AT	2010	- 479 Triệu,Số tự động,,0 Km,Nâu,Xăng	2.4 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	200	2018	- 1 Tỷ 399 Triệu,Số tự động,,"40,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Peugeot 5008	GT 1.6L	2022	- 1 Tỷ 273 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.6 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Toyota Corolla altis	1.8G AT	2008	- 300 Triệu,Số tự động,,1 Km,Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 MT	2022	- 642 Triệu,Số tay,,0 Km,Đen,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Honda City	L 1.5 AT	2022	- 569 Triệu,Số tự động,,0 Km,Đen,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Hyundai SantaFe	2.4L HTRAC	2019	- 1 Tỷ 50 Triệu,Số tự động,,"24,000 Km",Trắng,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Toyota Innova	G 2.0 AT	2022	- 870 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,8 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Nissan X trail	2.0 SL 2WD	2017	- 680 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Outlander	2.4 CVT	2016	- 725 Triệu,Số tự động,,"45,000 Km",Đỏ,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Nissan X trail	2.0 2WD	2017	- 635 Triệu,Số tự động,,0 Km,Xanh,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Lexus RX	350 AWD	2009	- 1 Tỷ 180 Triệu,Số tự động,,"130,000 Km",Bạc,Xăng	3.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz S class	S400L	2015	- 2 Tỷ 199 Triệu,Số tự động,,"40,000 Km",Đen,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	2.0E	2018	- 770 Triệu,Số tự động,,"42,000 Km",Cát,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia Cerato	2.0 AT Premium	2020	- 665 Triệu,Số tự động,,"22,000 Km",Xanh,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
