id,domain,url,crawled_date,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh,thong_tin_mo_ta
bcbbd914-c93b-4134-826b-932c71049d36,bonbanh.com,https://bonbanh.com/xe-porsche-macan-s-2021-4171826,1656780791.753091,xe porsche macan s,5388000000.0,2021,nhập khẩu,cũ,suv,"1,888 km",trắng,đỏ,5 cửa,5 chỗ,xăng,, tự động,awd,l/100km,3.0 l,"Tên công ty, xuất hoá đơn đơn cao"
77bdc76b-4a73-4a38-b213-0e02dd52f658,bonbanh.com,https://bonbanh.com/xe-audi-a8-l-4.2-quattro-2010-4273225,1656780791.823854,xe audi a8 l 4.2 quattro,980000000.0,2010,nhập khẩu,cũ,sedan,"129,000 km",đen,nâu,4 cửa,5 chỗ,xăng,, tự động,awd,12 l/100km,4.2 l,• Một mẫu xe với thiết kế đi cùng năm tháng
bce5ebb1-1e3b-4532-87ff-41ff23f39d18,bonbanh.com,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-4455449,1656780791.892313,xe toyota vios g 1.5 cvt,586000000.0,2022,trong nước,mới,sedan,0 km,trắng,kem,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.5 l,GIAO NGAY TOÀN QUỐC VIOS 1.5G CVT 2022 SỐ TỰ ĐỘNG VỚI NHIỀU ƯU ĐÃI HẤP DẪN:
afa2f81a-599c-4d3d-bf00-1dbebff4d330,bonbanh.com,https://bonbanh.com/xe-hyundai-santafe-premium-2.2l-htrac-2020-4459268,1656780792.039186,xe hyundai santafe premium 2.2l htrac,1235000000.0,2020,trong nước,cũ,suv,"20,000 km",trắng,nâu,5 cửa,7 chỗ,dầu,, tự động,awd,l/100km,2.2 l,"Hyundai Long An - Used Car mới về Hyundai Santafe full dầu 2020 chỉ 20,000km. Sơn zin 95% xe. Xe hàng hot. "
892c9192-9152-4c15-9c91-91828e2c3373,bonbanh.com,https://bonbanh.com/xe-vinfast-vf-e34-at-2022-4461914,1656780792.049366,xe vinfast vf e34,550000000.0,2022,trong nước,cũ,crossover,800 km,xanh,kem,5 cửa,5 chỗ,điện,, tự động,fwd,l/100km,0.1 l,Đang có sẵn chiếc Vfe34 sản xuất năm 2022 cực kì mới !
0bc3afa6-c855-48a7-878c-597e8ad37da8,bonbanh.com,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2022-3910457,1656780792.104842,xe ford ranger raptor 2.0l 4x4,1202000000.0,2022,nhập khẩu,mới,bán tải / pickup,0 km,trắng,đen,4 cửa,5 chỗ,dầu,phun dầu điện tử, tự động,4wd,7 l/100km,2.0 l,"Ford Ranger Raptor được thừa hưởng DNA hầm hố, thiết kế góc cạnh, đi kèm khả năng Off-Road ưu việt của đàn anh Ford F150 Raptor.So với phiên bản tiêu chuẩn của dòng Ford Ranger 2018, Raptor sở hữu thiết kế hầm hố và mạnh mẽ hơn nhiều"
44997f21-993c-4aed-9316-556051ee9c33,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2018-4389078,1656780792.144268,xe mercedes benz c class c300 amg,1560000000.0,2018,trong nước,cũ,sedan,"32,000 km",trắng,đen,4 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,2.0 l,Em có chiếc C300 2018 model 2019 với rất nhiều nâng cấp của đời 2019
f13d6230-80b0-4c73-8d64-758c869c7bac,bonbanh.com,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2022-4349969,1656780792.332018,xe toyota fortuner 2.4g 4x2 mt,1015000000.0,2022,trong nước,mới,suv,0 km,trắng,đen,4 cửa,7 chỗ,dầu,, tay,rfd,l/100km,2.4 l,GIAO NGAY TOYOTA FORTUNER 2.4 MT 4X2 - MÁY DẦU SỐ SÀN MẪU MỚI 2022.
88dc67fa-928e-4aba-86ed-b8e311b0e90b,bonbanh.com,https://bonbanh.com/xe-honda-brio-rs-2022-4320926,1656780792.321885,xe honda brio rs,410000000.0,2022,nhập khẩu,mới,hatchback,0 km,vàng,ghi,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.2 l,"Honda ô tô An Khánh vừa về Honda Brio RS bản cao cấp 2022, màu vàng cực đẹp, mới 100%"
88c21ab9-4f32-45f7-83c3-70066c850077,bonbanh.com,https://bonbanh.com/xe-maserati-quattroporte-gts-granlusso-3.8-v8-2019-4344127,1656780792.373184,xe maserati quattroporte gts granlusso 3.8 v8,7332000000.0,2019,nhập khẩu,mới,sedan,0 km,bạc,nâu,4 cửa,4 chỗ,xăng,, tự động,rfd,l/100km,3.8 l,Maserati Quattroporte 
